#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         434    -178.852    -179.282   0.0167013
         435     -179.46    -179.283   0.0166679
         436    -178.355     -179.28   0.0167648
         437    -179.715    -179.281   0.0167558
         438    -179.453    -179.282   0.0167221
         439    -179.032    -179.281   0.0166937
         440    -179.543    -179.282   0.0166663
         441     -180.04    -179.284   0.0167171
         442    -179.593    -179.284   0.0166939
         443    -179.192    -179.284   0.0166575
         444    -179.401    -179.284   0.0166221
         445    -179.083    -179.284   0.0165908
         446    -178.768    -179.283   0.0165939
         447     -179.27    -179.283   0.0165568
         448    -179.234    -179.283   0.0165202
         449    -179.061    -179.282   0.0164908
         450    -178.913    -179.281   0.0164745
         451    -179.232    -179.281   0.0164384
         452    -179.226    -179.281   0.0164024
         453    -179.872    -179.282    0.016418
         454    -178.813    -179.281   0.0164144
         455    -179.241    -179.281   0.0163786
         456    -179.509    -179.282   0.0163503
         457    -178.863    -179.281   0.0163402
         458    -179.079     -179.28   0.0163105
         459    -178.409    -179.278   0.0163851
         460    -179.494    -179.279   0.0163562
         461    -179.181    -179.279   0.0163221
         462    -179.606    -179.279   0.0163021
         463     -178.86    -179.278    0.016292
         464    -179.125    -179.278   0.0162602
         465    -178.806    -179.277    0.016257
         466    -179.325    -179.277   0.0162224
         467    -179.003    -179.277   0.0161983
         468     -178.98    -179.276   0.0161761
         469    -179.035    -179.275   0.0161498
         470    -179.607    -179.276   0.0161308
         471    -178.607    -179.275   0.0161589
         472     -179.24    -179.275   0.0161248
         473    -179.351    -179.275   0.0160916
         474    -179.664    -179.276   0.0160785
         475    -179.335    -179.276   0.0160451
         476    -178.853    -179.275    0.016036
         477    -179.071    -179.274    0.016008
         478    -179.448    -179.275   0.0159787
         479    -178.742    -179.274    0.015984
         480    -179.476    -179.274   0.0159563
         481    -178.799    -179.273   0.0159537
         482    -179.398    -179.273   0.0159227
         483    -179.234    -179.273   0.0158899
         484     -178.91    -179.273   0.0158748
         485    -179.458    -179.273   0.0158467
         486      -179.2    -179.273   0.0158148
         487    -178.783    -179.272   0.0158143
         488    -179.173    -179.272   0.0157832
         489    -178.766    -179.271   0.0157847
         490    -179.529    -179.271   0.0157613
         491    -179.174    -179.271   0.0157304
         492    -179.155    -179.271   0.0157002
         493    -179.093     -179.27   0.0156725
         494    -179.548    -179.271   0.0156509
         495    -179.074     -179.27   0.0156243
         496    -179.389    -179.271   0.0155947
         497    -180.012    -179.272   0.0156344
         498     -179.33    -179.272   0.0156035
         499    -178.804    -179.271   0.0156004
         500    -179.284    -179.271   0.0155692
