#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         377     2.15928     2.19611  0.00752339
         378     2.04872     2.19572  0.00751358
         379     2.28511     2.19596  0.00749746
         380     2.43152     2.19658  0.00750331
         381     2.37002     2.19703  0.00749742
         382     2.16394     2.19695  0.00747829
         383     2.09879     2.19669  0.00746315
         384     2.25602     2.19685  0.00744532
         385     2.00181     2.19634  0.00744319
         386     1.99166     2.19581  0.00744277
         387     2.13488     2.19565  0.00742521
         388     1.94673     2.19501  0.00743373
         389     2.00182     2.19451  0.00743119
         390     2.19366     2.19451  0.00741214
         391     2.20157     2.19453   0.0073932
         392     2.06728     2.19421  0.00738147
         393     2.10225     2.19397  0.00736639
         394     2.11353     2.19377  0.00735053
         395     2.09675     2.19352  0.00733602
         396     2.27944     2.19374   0.0073207
         397      2.1016     2.19351  0.00730594
         398     2.12971     2.19335  0.00728934
         399     2.04436     2.19297  0.00728063
         400     2.26778     2.19316  0.00726483
         401     2.18703     2.19314  0.00724673
         402     2.53197     2.19399  0.00727755
         403     2.18078     2.19395  0.00725957
         404     2.18201     2.19392  0.00724166
         405     2.21414     2.19397  0.00722395
         406     1.91939      2.1933  0.00723774
         407     2.38952     2.19378    0.007236
         408     2.09442     2.19354  0.00722236
         409     2.09308     2.19329  0.00720888
         410     2.05698     2.19296  0.00719896
         411     2.32412     2.19328  0.00718851
         412     2.13421     2.19313  0.00717249
         413     2.21964      2.1932  0.00715541
         414     2.48907     2.19391  0.00717373
         415      2.3775     2.19436  0.00717007
         416     2.35764     2.19475  0.00716357
         417     2.42911     2.19531  0.00716841
         418     2.07488     2.19502  0.00715704
         419     2.21925     2.19508   0.0071402
         420     2.16963     2.19502  0.00712345
         421     2.07838     2.19474  0.00711192
         422     2.19455     2.19474  0.00709507
         423     2.23028     2.19483  0.00707879
         424     2.13499     2.19468   0.0070635
         425      2.1069     2.19448   0.0070499
         426     2.24211     2.19459  0.00703424
         427      2.1503     2.19449  0.00701853
         428     2.34404     2.19484  0.00701082
         429      2.1083     2.19463  0.00699738
         430     2.05358     2.19431  0.00698879
         431     2.21974     2.19437  0.00697283
         432     2.07185     2.19408  0.00696245
         433     2.10052     2.19387  0.00694972
         434     2.03273     2.19349  0.00694362
         435     2.31925     2.19378  0.00693368
         436     2.16547     2.19372  0.00691808
