#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         456     1.66766     1.66532  0.00127993
         457     1.63912     1.66527  0.00127841
         458     1.69554     1.66533  0.00127732
         459     1.63973     1.66528  0.00127576
         460     1.66975     1.66529  0.00127302
         461     1.68161     1.66532  0.00127075
         462      1.6628     1.66532  0.00126802
         463     1.64673     1.66528  0.00126591
         464     1.71535     1.66538  0.00126778
         465      1.6793     1.66541   0.0012654
         466     1.64805     1.66538  0.00126324
         467     1.61949     1.66528  0.00126435
         468     1.65942     1.66527  0.00126171
         469     1.69366     1.66533  0.00126047
         470     1.69618     1.66539  0.00125949
         471     1.65118     1.66536  0.00125718
         472     1.63642      1.6653  0.00125601
         473     1.64822     1.66526  0.00125388
         474     1.63513      1.6652  0.00125284
         475     1.65055     1.66517  0.00125058
         476     1.62005     1.66508  0.00125154
         477     1.67783      1.6651  0.00124921
         478     1.67639     1.66513  0.00124682
         479     1.64508     1.66508  0.00124492
         480     1.68434     1.66512  0.00124297
         481      1.6257     1.66504  0.00124308
         482     1.62702     1.66496  0.00124301
         483     1.64204     1.66492  0.00124134
         484     1.69277     1.66497  0.00124011
         485     1.64642     1.66494  0.00123814
         486     1.66196     1.66493  0.00123561
         487     1.72521     1.66505  0.00123925
         488     1.65918     1.66504  0.00123677
         489     1.67383     1.66506  0.00123437
         490     1.63263     1.66499  0.00123363
         491     1.72778     1.66512  0.00123773
         492     1.67529     1.66514  0.00123538
         493     1.65031     1.66511  0.00123324
         494     1.68336     1.66515   0.0012313
         495     1.64388     1.66511  0.00122956
         496     1.65399     1.66508  0.00122729
         497     1.68222     1.66512   0.0012253
         498     1.60504       1.665  0.00122877
         499     1.68584     1.66504  0.00122701
         500     1.69282     1.66509  0.00122582
