#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         446     1.15558     1.11001 0.000865837
         447     1.09282     1.10997 0.000864754
         448     1.11832     1.10999 0.000863024
         449     1.11702     1.11001 0.000861244
         450     1.12898     1.11005 0.000860361
         451     1.11449     1.11006  0.00085851
         452     1.12352     1.11009 0.000857127
         453     1.13615     1.11015 0.000857162
         454     1.11501     1.11016 0.000855341
         455     1.13464     1.11021 0.000855153
         456     1.11177     1.11022 0.000853284
         457     1.09275     1.11018 0.000852273
         458     1.13036     1.11022  0.00085155
         459     1.09315     1.11018 0.000850507
         460     1.11317     1.11019 0.000848682
         461     1.12108     1.11021  0.00084717
         462     1.10853     1.11021 0.000845344
         463     1.09782     1.11018 0.000843942
         464     1.14357     1.11026 0.000845184
         465     1.11953     1.11028 0.000843602
         466      1.0987     1.11025 0.000842157
         467     1.07966     1.11019 0.000842897
         468     1.10628     1.11018 0.000841137
         469     1.12911     1.11022 0.000840312
         470     1.13079     1.11026 0.000839663
         471     1.10079     1.11024 0.000838121
         472     1.09095      1.1102 0.000837341
         473     1.09881     1.11018 0.000835917
         474     1.09008     1.11013 0.000835228
         475     1.10037     1.11011 0.000833723
         476     1.08003     1.11005 0.000834363
         477     1.11856     1.11007 0.000832804
         478     1.11759     1.11008 0.000831211
         479     1.09672     1.11006 0.000829944
         480     1.12289     1.11008 0.000828645
         481      1.0838     1.11003 0.000828723
         482     1.08468     1.10998  0.00082867
         483     1.09469     1.10994 0.000827559
         484     1.12852     1.10998 0.000826738
         485     1.09761     1.10996 0.000825427
         486     1.10797     1.10995 0.000823738
         487     1.15014     1.11004  0.00082617
         488     1.10612     1.11003 0.000824516
         489     1.11589     1.11004 0.000822917
         490     1.08842        1.11 0.000822419
         491     1.15185     1.11008 0.000825151
         492     1.11686     1.11009 0.000823589
         493     1.10021     1.11007 0.000822162
         494     1.12224      1.1101 0.000820867
         495     1.09592     1.11007 0.000819708
         496     1.10266     1.11006 0.000818191
         497     1.12148     1.11008 0.000816868
         498     1.07003        1.11 0.000819177
         499     1.12389     1.11003 0.000818009
         500     1.12855     1.11006 0.000817211
