#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         474     1.26616     1.24196  0.00117123
         475      1.2806     1.24204  0.00117159
         476     1.24549     1.24204  0.00116915
         477     1.23111     1.24202  0.00116692
         478     1.21273     1.24196  0.00116609
         479     1.21285      1.2419  0.00116524
         480     1.20201     1.24182  0.00116577
         481     1.21803     1.24177   0.0011644
         482     1.22757     1.24174  0.00116235
         483     1.23611     1.24173     0.00116
         484     1.26081     1.24177  0.00115828
         485     1.23428     1.24175  0.00115599
         486      1.2296     1.24173  0.00115388
         487     1.24903     1.24174  0.00115161
         488      1.2486     1.24175  0.00114934
         489     1.25318     1.24178  0.00114723
         490     1.24373     1.24178  0.00114489
         491     1.21053     1.24172  0.00114433
         492     1.21364     1.24166  0.00114342
         493     1.23909     1.24166  0.00114112
         494     1.22157     1.24162  0.00113953
         495     1.25231     1.24164  0.00113743
         496     1.23634     1.24163  0.00113519
         497     1.23964     1.24162  0.00113291
         498     1.26176     1.24166  0.00113136
         499      1.2938     1.24177  0.00113391
         500     1.28565     1.24185  0.00113503
