#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         336    -8.63636    -8.85195   0.0573454
         337    -8.02064    -8.84948   0.0572282
         338    -8.59188    -8.84872    0.057064
         339    -7.24302    -8.84398   0.0570919
         340    -7.52856    -8.84011   0.0570549
         341    -7.60336    -8.83649   0.0570028
         342    -7.79701    -8.83345   0.0569171
         343    -10.0379    -8.83696   0.0568593
         344    -9.43138    -8.83869   0.0567203
         345    -8.75546    -8.83844   0.0565564
         346    -8.43626    -8.83728   0.0564049
         347     -7.7872    -8.83426   0.0563235
         348    -8.33349    -8.83282     0.05618
         349    -8.79411    -8.83271   0.0560191
         350    -7.95662     -8.8302    0.055915
         351    -8.11052    -8.82815   0.0557932
         352    -7.34656    -8.82394   0.0557933
         353    -7.50719    -8.82021   0.0557598
         354    -8.42608     -8.8191   0.0556134
         355     -9.3199    -8.82051   0.0554746
         356    -9.17767    -8.82151   0.0553279
         357    -8.11943    -8.81955   0.0552078
         358    -8.29267    -8.81808   0.0550732
         359    -8.25415    -8.81651   0.0549422
         360    -7.82696    -8.81376   0.0548583
         361    -9.49701    -8.81565    0.054739
         362    -8.62927    -8.81513   0.0545902
         363    -8.73881    -8.81492   0.0544402
         364    -9.24775    -8.81611   0.0543036
         365    -9.08839    -8.81686     0.05416
         366    -9.27992    -8.81812   0.0540268
         367    -9.16249    -8.81906   0.0538877
         368    -9.81753    -8.82178   0.0538095
         369    -9.37826    -8.82328   0.0536849
         370    -8.46638    -8.82232   0.0535484
         371    -8.59964    -8.82172   0.0534075
         372    -8.65776    -8.82128   0.0532657
         373     -9.2518    -8.82243   0.0531354
         374    -8.72501    -8.82217    0.052994
         375    -9.23003    -8.82326   0.0528638
         376    -7.97454      -8.821   0.0527714
         377    -8.20498    -8.81937   0.0526567
         378    -7.62333     -8.8162   0.0526124
         379    -7.61268    -8.81303   0.0525693
         380    -8.75244    -8.81287   0.0524312
         381    -9.40408    -8.81442   0.0523165
         382    -9.59481    -8.81646   0.0522195
         383    -11.1129    -8.82246   0.0524262
         384    -9.16995    -8.82336   0.0522975
         385    -8.32981    -8.82208   0.0521774
         386    -8.39472    -8.82098    0.052054
         387    -8.06869    -8.81903   0.0519557
         388    -8.30586    -8.81771   0.0518387
         389    -8.06313    -8.81577   0.0517417
         390    -8.53174    -8.81504   0.0516141
         391     -7.9439    -8.81281   0.0515302
         392    -8.24015    -8.81135   0.0514194
         393    -8.52847    -8.81063   0.0512936
         394    -9.01028    -8.81114    0.051166
         395    -10.0298    -8.81422   0.0511294
         396    -9.27867     -8.8154   0.0510137
         397     -9.9624    -8.81829   0.0509669
         398    -9.55657    -8.82014   0.0508726
         399    -9.94304    -8.82296   0.0508229
         400    -9.54499    -8.82476   0.0507279
         401     -7.3642    -8.82112    0.050732
         402    -8.33022     -8.8199   0.0506205
         403    -9.06489    -8.82051   0.0504985
         404    -9.47235    -8.82212   0.0503993
         405    -8.85979    -8.82221   0.0502749
         406    -8.05538    -8.82032   0.0501866
         407    -8.21066    -8.81883   0.0500856
         408    -8.72377    -8.81859   0.0499634
         409    -9.14641    -8.81939   0.0498477
         410     -8.0922    -8.81762   0.0497576
         411    -8.53307    -8.81693   0.0496414
         412    -7.58506    -8.81394   0.0496109
         413    -9.57345    -8.81578   0.0495248
         414      -9.825    -8.81821   0.0494651
         415    -8.61494    -8.81772   0.0493484
         416    -7.40812    -8.81434   0.0493459
         417    -7.35292    -8.81083   0.0493519
         418    -7.36833    -8.80738   0.0493543
         419     -8.4715    -8.80658   0.0492431
         420     -8.1737    -8.80507   0.0491489
         421     -8.4709    -8.80428   0.0490385
         422     -8.5782    -8.80374   0.0489253
         423    -8.62541    -8.80332   0.0488114
         424    -7.97039    -8.80136   0.0487358
         425     -8.2961    -8.80017   0.0486356
         426    -8.12804    -8.79859    0.048547
         427    -9.11028    -8.79932   0.0484388
         428    -8.63202    -8.79893   0.0483272
         429    -9.18355    -8.79983   0.0482229
         430    -10.6826     -8.8042   0.0483091
         431    -8.82585    -8.80425   0.0481971
         432     -9.2413    -8.80527   0.0480961
         433    -9.89953    -8.80779   0.0480514
         434    -9.43536    -8.80924   0.0479624
         435    -11.4898     -8.8154   0.0482464
         436    -9.94351    -8.81799   0.0482051
         437    -9.59707    -8.81977   0.0481277
         438    -9.72769    -8.82184   0.0480625
         439    -8.22109    -8.82048   0.0479725
         440    -9.07854    -8.82106    0.047867
         441    -9.94886    -8.82362   0.0478267
         442    -9.18854    -8.82445   0.0477257
         443    -8.18445      -8.823   0.0476398
         444    -8.22622    -8.82166   0.0475514
         445    -8.50508    -8.82095   0.0474499
         446    -8.59397    -8.82044   0.0473462
         447    -7.00901    -8.81638   0.0474134
         448    -7.88467     -8.8143   0.0473532
         449    -8.83224    -8.81434   0.0472477
         450    -9.61836    -8.81613   0.0471765
         451    -10.1608    -8.81911    0.047166
         452    -9.36724    -8.82033   0.0470773
         453    -9.12724      -8.821   0.0469782
         454    -10.3121    -8.82429   0.0469894
         455     -10.428    -8.82781   0.0470182
         456    -9.35149    -8.82896   0.0469291
         457    -8.43961    -8.82811   0.0468341
         458     -8.8912    -8.82825   0.0467321
         459     -9.2291    -8.82912   0.0466384
         460    -10.0702    -8.83182    0.046615
         461    -10.1463    -8.83467    0.046601
         462    -9.42615    -8.83595   0.0465177
         463    -8.61117    -8.83546   0.0464198
         464    -7.31984     -8.8322   0.0464345
         465    -7.69875    -8.82976   0.0463986
         466    -7.98983    -8.82796    0.046334
         467    -8.71326    -8.82771   0.0462355
         468    -8.99351    -8.82807    0.046138
         469    -8.08459    -8.82648   0.0460669
         470    -7.99267    -8.82471    0.046003
         471    -7.83844    -8.82261    0.045953
         472     -9.0409    -8.82307   0.0458579
         473    -8.47442    -8.82234   0.0457669
         474    -9.77437    -8.82435   0.0457144
         475    -10.3319    -8.82752   0.0457282
         476    -8.96637    -8.82781   0.0456331
         477    -8.40344    -8.82692   0.0455461
         478    -7.68789    -8.82454   0.0455131
         479    -7.69169    -8.82217   0.0454795
         480    -7.26792    -8.81894   0.0454998
         481    -7.89488    -8.81702   0.0454458
         482    -8.26651    -8.81587   0.0453658
         483    -8.59648    -8.81542   0.0452742
         484    -9.56223    -8.81696   0.0452069
         485    -8.52432    -8.81636   0.0451178
         486      -8.345    -8.81539   0.0450353
         487    -9.10056    -8.81597   0.0449467
         488    -9.08333    -8.81652   0.0448579
         489    -9.26136    -8.81743   0.0447754
         490      -8.892    -8.81758   0.0446843
         491    -7.60004     -8.8151    0.044662
         492    -7.72248    -8.81288   0.0446264
         493    -8.71246    -8.81268   0.0445364
         494    -8.02927    -8.81109   0.0444744
         495    -9.22988    -8.81194   0.0443926
         496    -8.60758    -8.81153   0.0443051
         497     -8.7395    -8.81138   0.0442161
         498    -9.60231    -8.81297   0.0441559
         499    -10.8529    -8.81706   0.0442562
         500    -10.5328    -8.82049   0.0443005
